sales_id,order_id,product_id,price_per_unit,quantity_sales,total_price,customer_id,payment,order_date,delivery_date,customer_name,gender,age,home_address,city,state,product_type,product_name,size,colour,price,quantity_products,description
0,1,218,"$106,00",2,"$212,00",64,"$30.811,00",8/30/2021,9/24/2021,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,Sanfordborough,South Australia,Shirt,Chambray,L,orange,"$105,00",44,"A orange coloured, L sized, Chambray Shirt"
1,1,481,"$118,00",1,"$118,00",64,"$30.811,00",8/30/2021,9/24/2021,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,Sanfordborough,South Australia,Jacket,Puffer,S,indigo,"$110,00",62,"A indigo coloured, S sized, Puffer Jacket"
2,1,2,"$96,00",3,"$288,00",64,"$30.811,00",8/30/2021,9/24/2021,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,Sanfordborough,South Australia,Shirt,Oxford Cloth,M,red,"$114,00",54,"A red coloured, M sized, Oxford Cloth Shirt"
3,1,1002,"$106,00",2,"$212,00",64,"$30.811,00",8/30/2021,9/24/2021,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,Sanfordborough,South Australia,Trousers,Wool,M,blue,"$111,00",52,"A blue coloured, M sized, Wool Trousers"
4,1,691,"$113,00",3,"$339,00",64,"$30.811,00",8/30/2021,9/24/2021,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,Sanfordborough,South Australia,Jacket,Parka,S,indigo,"$119,00",53,"A indigo coloured, S sized, Parka Jacket"
5,1,981,"$106,00",3,"$318,00",64,"$30.811,00",8/30/2021,9/24/2021,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,Sanfordborough,South Australia,Trousers,Wool,S,red,"$111,00",65,"A red coloured, S sized, Wool Trousers"
6,2,915,"$96,00",1,"$96,00",473,"$50.490,00",02/03/2021,2/13/2021,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,Annaton,South Australia,Trousers,Drawstring,XS,orange,"$104,00",41,"A orange coloured, XS sized, Drawstring Trousers"
7,2,686,"$113,00",1,"$113,00",473,"$50.490,00",02/03/2021,2/13/2021,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,Annaton,South Australia,Jacket,Parka,S,blue,"$119,00",72,"A blue coloured, S sized, Parka Jacket"
8,2,1091,"$115,00",3,"$345,00",473,"$50.490,00",02/03/2021,2/13/2021,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,Annaton,South Australia,Trousers,Cropped,S,orange,"$99,00",78,"A orange coloured, S sized, Cropped Trousers"
9,2,1196,"$105,00",1,"$105,00",473,"$50.490,00",02/03/2021,2/13/2021,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,Annaton,South Australia,Trousers,Pleated,S,orange,"$90,00",72,"A orange coloured, S sized, Pleated Trousers"
10,2,157,"$91,00",3,"$273,00",473,"$50.490,00",02/03/2021,2/13/2021,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,Annaton,South Australia,Shirt,Linen,M,green,"$116,00",42,"A green coloured, M sized, Linen Shirt"
11,2,1174,"$99,00",2,"$198,00",473,"$50.490,00",02/03/2021,2/13/2021,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,Annaton,South Australia,Trousers,High-Waisted,XL,green,"$98,00",78,"A green coloured, XL sized, High-Waisted Trousers"
